"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields","Product Id on Ebay"
Product,"Advanced Motion Control Filter Card，AMC BFC10010",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,114.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/aawAAOSw-3Zmh2u-/s-l640.jpg," ",,Y,," "," "," ",unique_string,v1|395514121483|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395514121483|0
Product,"Advanced Motion Control Connector kits，AMC KC-MC1XDZ02",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,100.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/9h0AAOSwCjZmh25r/s-l960.jpg," ",,Y,," "," "," ",unique_string,v1|395514112879|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395514112879|0
Product,"ELMO Motion Control G-WHI10/100EE，GOLD Whistle Series Drive,EtherCat,10A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1127.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/A3QAAOSwTXpmsdF4/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578698729|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578698729|0
Product,"ELMO Motion Control G-TWI15/100SE，GOLD Twitter Series Drive,CANopen,15A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1098.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/734AAOSwXtJmsdcK/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578773299|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578773299|0
Product,"Parker ZETA4，Stand Alone Stepping Drive,170VDC,4A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,3677.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/1NAAAOSwJAxmsw5F/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395580771347|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580771347|0
Product,"Copley Control XTL-230-18 CC00-00837-300，CANopen Servo Drive,240VAC,18A,Peak",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1628.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/k-EAAOSwRL9mscAu/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395578558475|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578558475|0
Product,"Parker E-DC，Micro Stepper Drive,48VDC,4.8A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1233.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/p44AAOSwpOdmswzj/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395580763097|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580763097|0
Product,"Panasonic MCDLN35SE，AC Servo Drive,750W,A6 Series",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,898.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/g0QAAOSwMi1msxJI/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395580793889|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580793889|0
Product,"Advanced Motion Control Filter Card，AMC BFC1010",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,100.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/kaUAAOSwLIlmh2xG/s-l640.jpg," ",,Y,," "," "," ",unique_string,v1|395514127749|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395514127749|0
Product,"Incremental USB Interface，Renishaw E201-9Q 5G9G68",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,450.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/20oAAOSws5ZmsX-L/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395578077103|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578077103|0
Product,"Copley Control XTL-230-36，CANopen Servo Drive,240VAC,36A,Peak",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1463.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/XLIAAOSwCG5mscJE/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578568560|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578568560|0
